date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,weekday
2018-01-03,56.56,57.25,55.8,55.42,428368.31,-0.58,-1.03,55.51,55.931,54.53,348500.24,328927.82,342073.52,2
2018-01-02,56.15,57.08,56.38,56.02,329725.19,0.95,1.71,55.61,55.895,54.349,332657.84,318819.86,340277.19,1
2017-12-29,55.89,56.98,55.43,54.86,306334.62,-0.12,-0.22,55.908,55.789,54.105,339524.45,322114.16,338822.36,4
2017-12-28,54.51,56.22,55.55,53.95,330990.25,1.16,2.13,56.138,55.616,53.863,321012.77,317283.47,335653.09,3
2017-12-27,56.33,56.69,54.39,54.39,347082.81,-1.91,-3.39,56.216,55.511,53.644,312607.41,314699.38,333970.25,2
2017-12-26,57.81,57.88,56.3,55.55,349156.31,-1.57,-2.71,56.352,55.562,53.48,309355.4,312568.76,338984.29,1
2017-12-25,56.6,58.35,57.87,56.6,364058.28,1.29,2.28,56.18,55.262,53.294,304981.89,309795.23,336468.52,0
2017-12-22,55.65,56.74,56.58,55.5,213776.2,0.64,1.14,55.67,54.837,53.033,304703.87,321462.05,339960.39,4
2017-12-21,55.15,56.46,55.94,55.1,288963.44,0.87,1.58,55.094,54.222,52.909,313554.16,345966.75,357544.3,3
2017-12-20,55.39,56.13,55.07,54.85,330822.75,-0.37,-0.67,54.806,53.541,52.784,316791.36,355113.28,366118.8,2
2017-12-19,54.98,55.77,55.44,54.75,327288.78,0.12,0.22,54.772,53.129,52.852,315782.12,355219.22,375132.44,1
2017-12-18,53.2,55.32,55.32,53.2,362668.19,1.62,3.02,54.344,52.803,52.963,314608.56,361734.52,391340.73,0
2017-12-15,54.45,54.46,53.7,53.13,258027.64,-0.8,-1.47,54.004,52.421,52.928,338220.23,355530.55,393967.25,4
2017-12-14,55.06,55.07,54.5,53.7,305149.44,-0.4,-0.73,53.35,52.109,52.925,378379.33,354022.71,405821.15,3
2017-12-13,53.27,55.1,54.9,53.08,325776.56,1.6,3.0,52.276,51.777,52.844,393435.2,353241.12,410886.02,2
2017-12-12,53.88,54.68,53.3,53.01,321420.97,-0.32,-0.6,51.486,51.397,52.713,394656.31,365399.82,412547.44,1
2017-12-11,50.6,53.81,53.62,50.6,480726.56,3.19,6.33,51.262,51.326,52.664,408860.48,363141.81,415434.2,0
2017-12-08,49.4,51.2,50.43,49.4,458823.12,1.3,2.65,50.838,51.228,52.668,372840.87,358458.73,407895.45,4
2017-12-07,50.89,51.08,49.13,49.05,380428.81,-1.82,-3.57,50.868,51.595,52.817,329666.08,369121.86,405548.31,3
2017-12-06,52.0,52.05,50.95,50.34,331882.09,-1.23,-2.36,51.278,52.026,52.99,313047.04,377124.32,409654.16,2
2017-12-05,51.3,52.53,52.18,51.2,392441.81,0.68,1.32,51.308,52.574,53.017,336143.33,395045.67,434279.61,1
2017-12-04,50.71,52.06,51.5,50.32,300628.53,0.92,1.82,51.39,53.122,53.045,317423.14,420946.94,438821.46,0
2017-12-01,51.67,51.67,50.58,50.5,242949.16,-0.6,-1.17,51.618,53.434,53.105,344076.59,432403.96,446735.97,4
2017-11-30,50.8,52.06,51.18,50.61,297333.59,0.08,0.16,52.322,53.741,53.108,408577.64,457619.6,448111.11,3
2017-11-29,52.59,52.77,51.1,50.2,447363.56,-1.49,-2.83,52.774,53.911,53.111,441201.61,468530.92,444660.02,2
2017-11-28,52.2,53.07,52.59,51.78,298840.84,-0.05,-0.1,53.84,54.029,53.087,453948.01,459695.07,440221.18,1
2017-11-27,53.4,53.4,52.64,51.75,433895.81,-1.46,-2.7,54.854,54.001,53.007,524470.74,467726.59,444159.42,0
